Date,SPY
2000-08-31,0.013302407333543043
2000-09-01,0.0010260446702723414
2000-09-05,-0.007992236024602972
2000-09-06,-0.011360973437617994
2000-09-07,0.008567148144229098
2000-09-08,-0.006836663842160529
2000-09-11,-0.0014599872901936983
2000-09-12,-0.007312117763397019
2000-09-13,0.002630226975500305
2000-09-14,0.005037897861764007
2000-09-15,-0.02187815496910739
2000-09-18,-0.009203649793119495
2000-09-19,0.009073178143684135
2000-09-20,-0.007385768244839386
2000-09-21,-0.01520585266639618
2000-09-22,0.018177958076326828
2000-09-25,-0.007098409332230604
2000-09-26,-0.012781393227277782
2000-09-27,0.005266483447030623
2000-09-28,0.012879210465774227
2000-09-29,-0.009482986178945163
2000-10-02,0.0015233571675170587
2000-10-03,-0.009341614816832156
2000-10-04,0.008333286239943005
