"Date","Price","Open","High","Low","Change %"
"Sep 14, 2022","11.152","11.152","11.152","11.152","0.82%"
"Sep 13, 2022","11.061","11.061","11.061","11.061","-3.35%"
"Sep 12, 2022","11.444","11.444","11.444","11.444","0.84%"
"Sep 09, 2022","11.349","11.349","11.349","11.349","1.80%"
"Sep 08, 2022","11.148","11.148","11.148","11.148","0.28%"
"Sep 07, 2022","11.118","11.118","11.118","11.118","1.38%"
"Sep 06, 2022","10.966","10.966","10.966","10.966","0.05%"
"Sep 05, 2022","10.960","10.960","10.960","10.960","-0.02%"
"Sep 02, 2022","10.962","10.962","10.962","10.962","0.35%"
"Sep 01, 2022","10.924","10.924","10.924","10.924","-1.11%"
"Aug 31, 2022","11.046","11.046","11.046","11.046","-0.42%"
"Aug 30, 2022","11.092","11.092","11.092","11.092","-0.65%"
"Aug 29, 2022","11.165","11.165","11.165","11.165","-1.04%"
"Aug 26, 2022","11.282","11.282","11.282","11.282","-3.05%"
"Aug 25, 2022","11.637","11.637","11.637","11.637","0.90%"
"Aug 24, 2022","11.533","11.533","11.533","11.533","0.40%"
"Aug 23, 2022","11.487","11.487","11.487","11.487","0.44%"
"Aug 22, 2022","11.437","11.437","11.437","11.437","-1.34%"
"Aug 19, 2022","11.592","11.592","11.592","11.592","-0.54%"
"Aug 18, 2022","11.656","11.656","11.656","11.656","0.06%"
"Aug 17, 2022","11.649","11.649","11.649","11.649","-1.15%"
"Aug 16, 2022","11.785","11.785","11.785","11.785","0.57%"
"Aug 12, 2022","11.718","11.718","11.718","11.718","1.29%"
"Aug 11, 2022","11.569","11.569","11.569","11.569","-0.59%"
"Aug 10, 2022","11.637","11.637","11.637","11.637","2.16%"
"Aug 09, 2022","11.392","11.392","11.392","11.392","-1.44%"
"Aug 08, 2022","11.558","11.558","11.558","11.558","0.47%"
"Aug 05, 2022","11.504","11.504","11.504","11.504","-0.68%"
"Aug 04, 2022","11.583","11.583","11.583","11.583","0.56%"
"Aug 03, 2022","11.519","11.519","11.519","11.519","1.14%"
"Aug 02, 2022","11.388","11.388","11.388","11.388","-0.02%"
"Aug 01, 2022","11.391","11.391","11.391","11.391","-0.03%"
"Jul 29, 2022","11.394","11.394","11.394","11.394","0.79%"
"Jul 28, 2022","11.304","11.304","11.304","11.304","1.31%"
"Jul 27, 2022","11.157","11.157","11.157","11.157","1.96%"
"Jul 26, 2022","10.943","10.943","10.943","10.943","-0.96%"
"Jul 25, 2022","11.049","11.049","11.049","11.049","-0.43%"
"Jul 22, 2022","11.096","11.096","11.096","11.096","-0.85%"
"Jul 21, 2022","11.191","11.191","11.191","11.191","1.05%"
"Jul 20, 2022","11.075","11.075","11.075","11.075","1.04%"
"Jul 19, 2022","10.961","10.961","10.961","10.961","1.61%"
"Jul 18, 2022","10.787","10.787","10.787","10.787","-0.04%"
"Jul 15, 2022","10.791","10.791","10.791","10.791","1.93%"
"Jul 14, 2022","10.586","10.586","10.586","10.586","-0.81%"
"Jul 13, 2022","10.673","10.673","10.673","10.673","-0.80%"
"Jul 12, 2022","10.760","10.760","10.760","10.760","-0.27%"
"Jul 11, 2022","10.789","10.789","10.789","10.789","-1.18%"
"Jul 08, 2022","10.918","10.918","10.918","10.918","0.21%"
"Jul 07, 2022","10.895","10.895","10.895","10.895","2.09%"
"Jul 06, 2022","10.673","10.673","10.673","10.673","1.32%"
"Jul 05, 2022","10.533","10.533","10.533","10.533","0.77%"
"Jul 04, 2022","10.453","10.453","10.453","10.453","-0.12%"
"Jul 01, 2022","10.466","10.466","10.466","10.466","0.44%"
"Jun 30, 2022","10.420","10.420","10.420","10.420","-0.71%"
"Jun 29, 2022","10.494","10.494","10.494","10.494","-0.42%"
"Jun 28, 2022","10.538","10.538","10.538","10.538","-1.97%"
"Jun 24, 2022","10.750","10.750","10.750","10.750","2.70%"
"Jun 23, 2022","10.467","10.467","10.467","10.467","0.93%"
"Jun 22, 2022","10.370","10.370","10.370","10.370","-0.23%"
"Jun 21, 2022","10.394","10.394","10.394","10.394","1.31%"
"Jun 20, 2022","10.259","10.259","10.259","10.259","0.23%"
"Jun 17, 2022","10.235","10.235","10.235","10.235","-2.33%"
"Jun 15, 2022","10.479","10.479","10.479","10.479","1.82%"
"Jun 14, 2022","10.291","10.291","10.291","10.291","-0.54%"
"Jun 13, 2022","10.347","10.347","10.347","10.347","-5.73%"
"Jun 09, 2022","10.976","10.976","10.976","10.976","-2.24%"
"Jun 08, 2022","11.228","11.228","11.228","11.228","-0.51%"
"Jun 07, 2022","11.286","11.286","11.286","11.286","0.69%"
"Jun 06, 2022","11.209","11.209","11.209","11.209","0.74%"
"Jun 03, 2022","11.126","11.126","11.126","11.126","-1.29%"
"Jun 02, 2022","11.272","11.272","11.272","11.272","2.30%"
"Jun 01, 2022","11.018","11.018","11.018","11.018","-0.94%"
"May 31, 2022","11.122","11.122","11.122","11.122","-0.81%"
"May 30, 2022","11.214","11.214","11.214","11.214","0.68%"
"May 27, 2022","11.138","11.138","11.138","11.138","2.35%"
"May 26, 2022","10.882","10.882","10.882","10.882","1.91%"
"May 25, 2022","10.679","10.679","10.679","10.679","1.26%"
"May 24, 2022","10.546","10.546","10.546","10.546","-1.91%"
"May 23, 2022","10.750","10.750","10.750","10.750","0.54%"
"May 20, 2022","10.692","10.692","10.692","10.692","-0.02%"
"May 19, 2022","10.694","10.694","10.694","10.694","-0.17%"
"May 18, 2022","10.712","10.712","10.712","10.712","-2.41%"
"May 17, 2022","10.976","10.976","10.976","10.976","1.61%"
"May 16, 2022","10.803","10.803","10.803","10.803","-0.92%"
"May 13, 2022","10.903","10.903","10.903","10.903","2.62%"
"May 12, 2022","10.625","10.625","10.625","10.625","0.08%"
"May 11, 2022","10.616","10.616","10.616","10.616","-0.12%"
"May 10, 2022","10.629","10.629","10.629","10.629","-3.13%"
"May 06, 2022","10.972","10.972","10.972","10.972","-3.78%"
"May 04, 2022","11.403","11.403","11.403","11.403","0.82%"
"May 03, 2022","11.311","11.311","11.311","11.311","-0.15%"
"May 02, 2022","11.328","11.328","11.328","11.328","-0.28%"
"Apr 29, 2022","11.359","11.359","11.359","11.359","-0.96%"
"Apr 28, 2022","11.469","11.469","11.469","11.469","1.97%"
"Apr 27, 2022","11.248","11.248","11.248","11.248","0.51%"
"Apr 26, 2022","11.191","11.191","11.191","11.191","-1.88%"
"Apr 22, 2022","11.405","11.405","11.405","11.405","-1.74%"
"Apr 21, 2022","11.607","11.607","11.607","11.607","-1.38%"
"Apr 20, 2022","11.769","11.769","11.769","11.769","-0.06%"
"Apr 19, 2022","11.776","11.776","11.776","11.776","0.82%"
"Apr 18, 2022","11.680","11.680","11.680","11.680","-0.31%"
"Apr 15, 2022","11.716","11.716","11.716","11.716","0.00%"
"Apr 14, 2022","11.716","11.716","11.716","11.716","-0.80%"
"Apr 13, 2022","11.811","11.811","11.811","11.811","0.98%"
"Apr 12, 2022","11.697","11.697","11.697","11.697","-0.15%"
"Apr 11, 2022","11.715","11.715","11.715","11.715","-1.70%"
"Apr 08, 2022","11.917","11.917","11.917","11.917","0.18%"
"Apr 07, 2022","11.895","11.895","11.895","11.895","0.02%"
"Apr 06, 2022","11.893","11.893","11.893","11.893","-2.98%"
"Apr 04, 2022","12.259","12.259","12.259","12.259","1.53%"
"Apr 01, 2022","12.074","12.074","12.074","12.074","0.43%"
"Mar 31, 2022","12.022","12.022","12.022","12.022","-1.17%"
"Mar 30, 2022","12.164","12.164","12.164","12.164","-1.04%"
"Mar 29, 2022","12.292","12.292","12.292","12.292","1.57%"
"Mar 28, 2022","12.102","12.102","12.102","12.102","0.95%"
"Mar 25, 2022","11.988","11.988","11.988","11.988","-0.41%"
"Mar 24, 2022","12.038","12.038","12.038","12.038","0.87%"
"Mar 23, 2022","11.934","11.934","11.934","11.934","-1.01%"
"Mar 22, 2022","12.056","12.056","12.056","12.056","0.71%"
"Mar 21, 2022","11.970","11.970","11.970","11.970","-0.54%"
"Mar 18, 2022","12.035","12.035","12.035","12.035","1.30%"
"Mar 17, 2022","11.880","11.880","11.880","11.880","0.56%"
"Mar 16, 2022","11.813","11.813","11.813","11.813","2.56%"
"Mar 15, 2022","11.518","11.518","11.518","11.518","0.65%"
"Mar 14, 2022","11.444","11.444","11.444","11.444","0.27%"
"Mar 11, 2022","11.413","11.413","11.413","11.413","0.05%"
"Mar 10, 2022","11.408","11.408","11.408","11.408","-2.35%"
"Mar 09, 2022","11.682","11.682","11.682","11.682","3.96%"
"Mar 08, 2022","11.237","11.237","11.237","11.237","-1.23%"
"Mar 07, 2022","11.377","11.377","11.377","11.377","-1.35%"
"Mar 04, 2022","11.532","11.532","11.532","11.532","-1.93%"
"Mar 03, 2022","11.759","11.759","11.759","11.759","-1.46%"
"Mar 02, 2022","11.933","11.933","11.933","11.933","1.24%"
"Mar 01, 2022","11.786","11.786","11.786","11.786","-1.94%"
"Feb 28, 2022","12.020","12.020","12.020","12.020","1.34%"
"Feb 25, 2022","11.861","11.861","11.861","11.861","1.88%"
"Feb 24, 2022","11.641","11.641","11.641","11.641","1.71%"
"Feb 23, 2022","11.446","11.446","11.446","11.446","-1.76%"
"Feb 21, 2022","11.651","11.651","11.651","11.651","-0.57%"
"Feb 18, 2022","11.717","11.717","11.717","11.717","-1.15%"
"Feb 17, 2022","11.854","11.854","11.854","11.854","-1.46%"
"Feb 16, 2022","12.029","12.029","12.029","12.029","-0.62%"
"Feb 15, 2022","12.104","12.104","12.104","12.104","2.41%"
"Feb 14, 2022","11.819","11.819","11.819","11.819","-0.58%"
"Feb 11, 2022","11.888","11.888","11.888","11.888","-2.16%"
"Feb 10, 2022","12.151","12.151","12.151","12.151","-1.38%"
"Feb 09, 2022","12.321","12.321","12.321","12.321","1.83%"
"Feb 08, 2022","12.100","12.100","12.100","12.100","0.42%"
"Feb 07, 2022","12.049","12.049","12.049","12.049","-0.02%"
"Feb 04, 2022","12.052","12.052","12.052","12.052","-0.67%"
"Feb 03, 2022","12.134","12.134","12.134","12.134","-3.03%"
"Feb 02, 2022","12.512","12.512","12.512","12.512","-0.70%"
"Feb 01, 2022","12.601","12.601","12.601","12.601","0.75%"
"Jan 31, 2022","12.507","12.507","12.507","12.507","3.10%"
"Jan 28, 2022","12.130","12.130","12.130","12.130","1.42%"
"Jan 27, 2022","11.960","11.960","11.960","11.960","0.31%"
"Jan 25, 2022","11.924","11.924","11.924","11.924","-1.16%"
"Jan 24, 2022","12.063","12.063","12.063","12.063","-1.19%"
"Jan 21, 2022","12.209","12.209","12.209","12.209","-2.60%"
"Jan 20, 2022","12.535","12.535","12.535","12.535","-0.01%"
"Jan 19, 2022","12.536","12.536","12.536","12.536","-0.15%"
"Jan 18, 2022","12.554","12.554","12.554","12.554","-1.77%"
"Jan 17, 2022","12.780","12.780","12.780","12.780","0.53%"
"Jan 14, 2022","12.712","12.712","12.712","12.712","-0.83%"
"Jan 13, 2022","12.819","12.819","12.819","12.819","-2.48%"
"Jan 12, 2022","13.145","13.145","13.145","13.145","-0.05%"
"Jan 11, 2022","13.151","13.151","13.151","13.151","1.31%"
"Jan 10, 2022","12.982","12.982","12.982","12.982","-1.10%"
"Jan 07, 2022","13.126","13.126","13.126","13.126","-0.88%"
"Jan 06, 2022","13.243","13.243","13.243","13.243","-1.14%"
"Jan 05, 2022","13.395","13.395","13.395","13.395","-2.14%"
"Jan 04, 2022","13.688","13.688","13.688","13.688","-0.62%"
"Jan 03, 2022","13.774","13.774","13.774","13.774","0.15%"
"Dec 31, 2021","13.753","13.753","13.753","13.753","-0.32%"
"Dec 30, 2021","13.798","13.798","13.798","13.798","-0.13%"
"Dec 28, 2021","13.816","13.816","13.816","13.816","-0.36%"
"Dec 27, 2021","13.866","13.866","13.866","13.866","1.01%"
"Dec 23, 2021","13.726","13.726","13.726","13.726","0.57%"
"Dec 22, 2021","13.649","13.649","13.649","13.649","0.67%"
"Dec 21, 2021","13.558","13.558","13.558","13.558","1.85%"
"Dec 20, 2021","13.311","13.311","13.311","13.311","-0.91%"
"Dec 17, 2021","13.433","13.433","13.433","13.433","-0.59%"
"Dec 16, 2021","13.513","13.513","13.513","13.513","-1.12%"
"Dec 15, 2021","13.666","13.666","13.666","13.666","1.93%"
"Dec 14, 2021","13.408","13.408","13.408","13.408","-1.42%"
"Dec 13, 2021","13.601","13.601","13.601","13.601","-0.58%"
"Dec 10, 2021","13.680","13.680","13.680","13.680","0.34%"
"Dec 09, 2021","13.633","13.633","13.633","13.633","-1.09%"
