"Date","Price","Open","High","Low","Change %"
"Sep 21, 2022","105.816","105.816","105.816","105.816","-0.93%"
"Sep 20, 2022","106.806","106.806","106.806","106.806","-1.24%"
"Sep 19, 2022","108.143","108.143","108.143","108.143","0.06%"
"Sep 16, 2022","108.073","108.073","108.073","108.073","-1.24%"
"Sep 15, 2022","109.435","109.435","109.435","109.435","-1.93%"
"Sep 14, 2022","111.584","111.584","111.584","111.584","1.90%"
"Sep 13, 2022","109.503","109.503","109.503","109.503","-4.74%"
"Sep 12, 2022","114.946","114.946","114.946","114.946","0.49%"
"Sep 09, 2022","114.390","114.390","114.390","114.390","1.82%"
"Sep 08, 2022","112.349","112.349","112.349","112.349","-0.68%"
"Sep 07, 2022","113.121","113.121","113.121","113.121","2.12%"
"Sep 06, 2022","110.772","110.772","110.772","110.772","-1.01%"
"Sep 05, 2022","111.906","111.906","111.906","111.906","0.21%"
"Sep 02, 2022","111.674","111.674","111.674","111.674","-0.30%"
"Sep 01, 2022","112.009","112.009","112.009","112.009","-0.85%"
"Aug 31, 2022","112.964","112.964","112.964","112.964","-0.40%"
"Aug 30, 2022","113.420","113.420","113.420","113.420","-1.10%"
"Aug 29, 2022","114.676","114.676","114.676","114.676","-0.88%"
"Aug 26, 2022","115.699","115.699","115.699","115.699","-4.45%"
"Aug 25, 2022","121.085","121.085","121.085","121.085","1.60%"
"Aug 24, 2022","119.177","119.177","119.177","119.177","0.49%"
"Aug 23, 2022","118.596","118.596","118.596","118.596","0.20%"
"Aug 22, 2022","118.361","118.361","118.361","118.361","-2.37%"
"Aug 19, 2022","121.240","121.240","121.240","121.240","-1.00%"
"Aug 18, 2022","122.463","122.463","122.463","122.463","0.18%"
"Aug 17, 2022","122.246","122.246","122.246","122.246","-1.57%"
"Aug 16, 2022","124.191","124.191","124.191","124.191","0.44%"
"Aug 15, 2022","123.646","123.646","123.646","123.646","1.35%"
"Aug 12, 2022","122.002","122.002","122.002","122.002","1.62%"
"Aug 11, 2022","120.062","120.062","120.062","120.062","-0.66%"
"Aug 10, 2022","120.854","120.854","120.854","120.854","2.41%"
"Aug 09, 2022","118.010","118.010","118.010","118.010","-1.75%"
"Aug 08, 2022","120.116","120.116","120.116","120.116","-0.05%"
"Aug 05, 2022","120.174","120.174","120.174","120.174","-1.22%"
"Aug 04, 2022","121.662","121.662","121.662","121.662","0.92%"
"Aug 03, 2022","120.551","120.551","120.551","120.551","2.42%"
"Aug 02, 2022","117.708","117.708","117.708","117.708","-0.08%"
"Aug 01, 2022","117.801","117.801","117.801","117.801","-0.46%"
"Jul 29, 2022","118.344","118.344","118.344","118.344","0.19%"
"Jul 28, 2022","118.124","118.124","118.124","118.124","1.21%"
"Jul 27, 2022","116.710","116.710","116.710","116.710","2.78%"
"Jul 26, 2022","113.555","113.555","113.555","113.555","-1.03%"
"Jul 25, 2022","114.737","114.737","114.737","114.737","-0.89%"
"Jul 22, 2022","115.764","115.764","115.764","115.764","-1.57%"
"Jul 21, 2022","117.614","117.614","117.614","117.614","1.06%"
"Jul 20, 2022","116.384","116.384","116.384","116.384","1.52%"
"Jul 19, 2022","114.643","114.643","114.643","114.643","2.42%"
"Jul 18, 2022","111.932","111.932","111.932","111.932","-0.87%"
"Jul 15, 2022","112.913","112.913","112.913","112.913","1.39%"
"Jul 14, 2022","111.365","111.365","111.365","111.365","0.03%"
"Jul 13, 2022","111.327","111.327","111.327","111.327","-0.77%"
"Jul 12, 2022","112.189","112.189","112.189","112.189","-0.05%"
"Jul 11, 2022","112.247","112.247","112.247","112.247","-1.77%"
"Jul 08, 2022","114.275","114.275","114.275","114.275","-0.24%"
"Jul 07, 2022","114.545","114.545","114.545","114.545","2.09%"
"Jul 06, 2022","112.201","112.201","112.201","112.201","1.69%"
"Jul 05, 2022","110.334","110.334","110.334","110.334","2.34%"
"Jul 04, 2022","107.813","107.813","107.813","107.813","-0.38%"
"Jul 01, 2022","108.220","108.220","108.220","108.220","0.60%"
"Jun 30, 2022","107.574","107.574","107.574","107.574","-0.78%"
"Jun 29, 2022","108.425","108.425","108.425","108.425","0.35%"
"Jun 28, 2022","108.046","108.046","108.046","108.046","-2.32%"
"Jun 27, 2022","110.611","110.611","110.611","110.611","-1.49%"
"Jun 24, 2022","112.287","112.287","112.287","112.287","3.43%"
"Jun 23, 2022","108.562","108.562","108.562","108.562","1.84%"
"Jun 22, 2022","106.597","106.597","106.597","106.597","-0.11%"
